survey_id,program_id,has_access
66,P01,No
66,P02,No
66,P03,No
67,P01,No
67,P02,No
67,P03,No
68,P01,Yes
68,P02,No
68,P03,Yes
69,P01,No
69,P02,Yes
69,P03,No
70,P01,No
70,P02,No
70,P03,No
71,P01,No
71,P02,No
71,P03,No
72,P01,No
72,P02,No
72,P03,No
73,P01,No
73,P02,Yes
73,P03,No
74,P01,No
74,P02,No
74,P03,No
75,P01,No
75,P02,Yes
75,P03,No
76,P01,Yes
76,P02,No
76,P03,No
77,P01,Yes
77,P02,Yes
77,P03,No
78,P01,Yes
78,P02,No
78,P03,No
79,P01,Yes
79,P02,No
79,P03,Yes
80,P01,No
80,P02,Yes
80,P03,Yes
81,P01,Yes
81,P02,Yes
81,P03,No
82,P01,Yes
82,P02,No
82,P03,No
83,P01,No
83,P02,No
83,P03,No
84,P01,Yes
84,P02,Yes
84,P03,No
85,P01,No
85,P02,No
85,P03,No
86,P01,Yes
86,P02,No
86,P03,Yes
87,P01,No
87,P02,Yes
87,P03,No
88,P01,Yes
88,P02,No
88,P03,No
89,P01,Yes
89,P02,Yes
89,P03,No
90,P01,No
90,P02,No
90,P03,Yes
91,P01,No
91,P02,Yes
91,P03,Yes
92,P01,Yes
92,P02,Yes
92,P03,Yes
93,P01,No
93,P02,Yes
93,P03,No
94,P01,Yes
94,P02,No
94,P03,No
95,P01,Yes
95,P02,No
95,P03,No
96,P01,Yes
96,P02,No
96,P03,No
97,P01,No
97,P02,Yes
97,P03,No
98,P01,No
98,P02,Yes
98,P03,Yes
99,P01,No
99,P02,Yes
99,P03,No
100,P01,No
100,P02,No
100,P03,Yes
101,P01,No
101,P02,No
101,P03,No
102,P01,Yes
102,P02,Yes
102,P03,No
103,P01,Yes
103,P02,No
103,P03,No
104,P01,No
104,P02,No
104,P03,Yes
105,P01,No
105,P02,No
105,P03,No
106,P01,No
106,P02,No
106,P03,No
107,P01,No
107,P02,No
107,P03,Yes
108,P01,No
108,P02,No
108,P03,Yes
109,P01,No
109,P02,No
109,P03,No
110,P01,Yes
110,P02,Yes
110,P03,No
111,P01,No
111,P02,Yes
111,P03,No
112,P01,No
112,P02,No
112,P03,No
113,P01,No
113,P02,No
113,P03,Yes
114,P01,No
114,P02,No
114,P03,No
115,P01,No
115,P02,Yes
115,P03,No
116,P01,No
116,P02,No
116,P03,No
117,P01,No
117,P02,No
117,P03,No
118,P01,Yes
118,P02,No
118,P03,Yes
119,P01,No
119,P02,Yes
119,P03,No
120,P01,No
120,P02,No
120,P03,No
121,P01,Yes
121,P02,Yes
121,P03,No
122,P01,Yes
122,P02,Yes
122,P03,Yes
123,P01,Yes
123,P02,No
123,P03,No
124,P01,Yes
124,P02,No
124,P03,Yes
125,P01,No
125,P02,Yes
125,P03,No
126,P01,Yes
126,P02,No
126,P03,Yes
127,P01,No
127,P02,Yes
127,P03,Yes
128,P01,No
128,P02,No
128,P03,No
129,P01,No
129,P02,No
129,P03,Yes
130,P01,Yes
130,P02,Yes
130,P03,No
131,P01,No
131,P02,No
131,P03,No
132,P01,No
132,P02,Yes
132,P03,No
133,P01,No
133,P02,Yes
133,P03,No
134,P01,No
134,P02,No
134,P03,No
135,P01,No
135,P02,No
135,P03,Yes
136,P01,No
136,P02,Yes
136,P03,No
137,P01,No
137,P02,Yes
137,P03,No
138,P01,No
138,P02,No
138,P03,No
139,P01,No
139,P02,Yes
139,P03,No
140,P01,No
140,P02,No
140,P03,No
141,P01,No
141,P02,No
141,P03,Yes
142,P01,No
142,P02,No
142,P03,Yes
143,P01,No
143,P02,Yes
143,P03,No
144,P01,Yes
144,P02,Yes
144,P03,No
145,P01,Yes
145,P02,Yes
145,P03,Yes
146,P01,Yes
146,P02,No
146,P03,Yes
147,P01,No
147,P02,No
147,P03,No
148,P01,Yes
148,P02,No
148,P03,No
149,P01,No
149,P02,Yes
149,P03,No
150,P01,No
150,P02,Yes
150,P03,No
151,P01,No
151,P02,No
151,P03,No
152,P01,No
152,P02,No
152,P03,No
153,P01,No
153,P02,No
153,P03,No
154,P01,No
154,P02,No
154,P03,No
155,P01,No
155,P02,No
155,P03,No
156,P01,No
156,P02,Yes
156,P03,No
157,P01,No
157,P02,No
157,P03,No
158,P01,No
158,P02,No
158,P03,No
159,P01,Yes
159,P02,No
159,P03,No
160,P01,Yes
160,P02,No
160,P03,No
161,P01,No
161,P02,Yes
161,P03,Yes
162,P01,No
162,P02,No
162,P03,No
163,P01,Yes
163,P02,No
163,P03,Yes
164,P01,No
164,P02,No
164,P03,No
165,P01,No
165,P02,No
165,P03,No
166,P01,No
166,P02,No
166,P03,No
167,P01,No
167,P02,No
167,P03,No
168,P01,No
168,P02,No
168,P03,No
169,P01,Yes
169,P02,No
169,P03,No
170,P01,Yes
170,P02,No
170,P03,Yes
171,P01,No
171,P02,Yes
171,P03,No
172,P01,No
172,P02,No
172,P03,Yes
173,P01,Yes
173,P02,No
173,P03,No
174,P01,No
174,P02,No
174,P03,Yes
175,P01,No
175,P02,No
175,P03,No
176,P01,No
176,P02,No
176,P03,Yes
177,P01,No
177,P02,Yes
177,P03,No
178,P01,No
178,P02,No
178,P03,No
179,P01,No
179,P02,No
179,P03,No
180,P01,No
180,P02,No
180,P03,No
181,P01,No
181,P02,No
181,P03,Yes
182,P01,No
182,P02,No
182,P03,No
183,P01,Yes
183,P02,No
183,P03,No
184,P01,No
184,P02,No
184,P03,No
185,P01,Yes
185,P02,No
185,P03,No
186,P01,No
186,P02,Yes
186,P03,No
187,P01,Yes
187,P02,No
187,P03,No
188,P01,No
188,P02,No
188,P03,No
189,P01,No
189,P02,No
189,P03,No
190,P01,Yes
190,P02,No
190,P03,No
191,P01,No
191,P02,Yes
191,P03,No
192,P01,Yes
192,P02,No
192,P03,No
193,P01,Yes
193,P02,Yes
193,P03,Yes
194,P01,No
194,P02,No
194,P03,No
195,P01,No
195,P02,Yes
195,P03,Yes
196,P01,Yes
196,P02,No
196,P03,No
197,P01,No
197,P02,No
197,P03,Yes
198,P01,No
198,P02,No
198,P03,Yes
199,P01,No
199,P02,No
199,P03,No
200,P01,No
200,P02,No
200,P03,No
201,P01,No
201,P02,Yes
201,P03,No
202,P01,No
202,P02,No
202,P03,No
203,P01,No
203,P02,No
203,P03,No
204,P01,Yes
204,P02,Yes
204,P03,No
205,P01,Yes
205,P02,No
205,P03,No
206,P01,No
206,P02,No
206,P03,No
207,P01,No
207,P02,No
207,P03,Yes
208,P01,No
208,P02,Yes
208,P03,No
209,P01,No
209,P02,Yes
209,P03,No
210,P01,No
210,P02,No
210,P03,No
211,P01,No
211,P02,No
211,P03,No
212,P01,Yes
212,P02,Yes
212,P03,No
213,P01,No
213,P02,No
213,P03,No
214,P01,No
214,P02,No
214,P03,No
215,P01,No
215,P02,No
215,P03,No
216,P01,No
216,P02,No
216,P03,No
217,P01,No
217,P02,Yes
217,P03,No
218,P01,Yes
218,P02,Yes
218,P03,No
219,P01,Yes
219,P02,Yes
219,P03,No
220,P01,Yes
220,P02,No
220,P03,Yes
221,P01,Yes
221,P02,No
221,P03,No
222,P01,Yes
222,P02,No
222,P03,No
223,P01,Yes
223,P02,No
223,P03,Yes
224,P01,No
224,P02,Yes
224,P03,No
225,P01,No
225,P02,No
225,P03,No
226,P01,No
226,P02,No
226,P03,Yes
227,P01,No
227,P02,No
227,P03,Yes
228,P01,No
228,P02,No
228,P03,No
229,P01,Yes
229,P02,No
229,P03,No
230,P01,No
230,P02,No
230,P03,No
231,P01,No
231,P02,No
231,P03,No
232,P01,Yes
232,P02,No
232,P03,No
233,P01,No
233,P02,No
233,P03,Yes
234,P01,No
234,P02,No
234,P03,No
235,P01,No
235,P02,Yes
235,P03,Yes
236,P01,No
236,P02,Yes
236,P03,No
237,P01,No
237,P02,Yes
237,P03,No
238,P01,No
238,P02,Yes
238,P03,No
239,P01,No
239,P02,No
239,P03,No
240,P01,Yes
240,P02,No
240,P03,No
241,P01,No
241,P02,No
241,P03,Yes
242,P01,No
242,P02,No
242,P03,Yes
243,P01,No
243,P02,No
243,P03,No
244,P01,No
244,P02,Yes
244,P03,No
245,P01,No
245,P02,Yes
245,P03,Yes
246,P01,No
246,P02,No
246,P03,No
247,P01,No
247,P02,No
247,P03,No
248,P01,No
248,P02,No
248,P03,No
249,P01,No
249,P02,Yes
249,P03,Yes
250,P01,Yes
250,P02,No
250,P03,No
251,P01,No
251,P02,No
251,P03,No
252,P01,Yes
252,P02,Yes
252,P03,No
253,P01,Yes
253,P02,No
253,P03,No
254,P01,No
254,P02,No
254,P03,No
255,P01,No
255,P02,No
255,P03,No
256,P01,Yes
256,P02,No
256,P03,No
257,P01,No
257,P02,Yes
257,P03,No
258,P01,No
258,P02,No
258,P03,No
259,P01,Yes
259,P02,No
259,P03,Yes
260,P01,No
260,P02,Yes
260,P03,No
261,P01,No
261,P02,No
261,P03,No
262,P01,Yes
262,P02,Yes
262,P03,No
263,P01,No
263,P02,Yes
263,P03,No
264,P01,No
264,P02,Yes
264,P03,Yes
265,P01,Yes
265,P02,No
265,P03,No
266,P01,Yes
266,P02,No
266,P03,Yes
267,P01,No
267,P02,No
267,P03,Yes
268,P01,No
268,P02,No
268,P03,No
269,P01,No
269,P02,No
269,P03,No
270,P01,No
270,P02,No
270,P03,Yes
271,P01,Yes
271,P02,Yes
271,P03,No
272,P01,No
272,P02,No
272,P03,No
273,P01,No
273,P02,No
273,P03,No
274,P01,No
274,P02,Yes
274,P03,Yes
275,P01,Yes
275,P02,No
275,P03,Yes
276,P01,No
276,P02,No
276,P03,No
277,P01,Yes
277,P02,No
277,P03,No
278,P01,Yes
278,P02,No
278,P03,Yes
279,P01,Yes
279,P02,No
279,P03,No
280,P01,No
280,P02,No
280,P03,No
281,P01,Yes
281,P02,No
281,P03,No
282,P01,No
282,P02,No
282,P03,No
283,P01,No
283,P02,No
283,P03,No
284,P01,No
284,P02,No
284,P03,No
285,P01,No
285,P02,No
285,P03,Yes
286,P01,No
286,P02,Yes
286,P03,No
287,P01,Yes
287,P02,Yes
287,P03,No
288,P01,Yes
288,P02,No
288,P03,No
289,P01,No
289,P02,No
289,P03,No
290,P01,No
290,P02,No
290,P03,No
291,P01,Yes
291,P02,No
291,P03,No
292,P01,No
292,P02,No
292,P03,No
293,P01,No
293,P02,Yes
293,P03,No
294,P01,No
294,P02,No
294,P03,No
295,P01,No
295,P02,No
295,P03,No
296,P01,No
296,P02,No
296,P03,Yes
297,P01,No
297,P02,No
297,P03,No
298,P01,No
298,P02,No
298,P03,No
299,P01,No
299,P02,No
299,P03,No
300,P01,No
300,P02,No
300,P03,Yes
301,P01,No
301,P02,No
301,P03,No
302,P01,No
302,P02,No
302,P03,Yes
303,P01,No
303,P02,No
303,P03,No
304,P01,No
304,P02,No
304,P03,Yes
305,P01,No
305,P02,No
305,P03,No
306,P01,No
306,P02,Yes
306,P03,No
307,P01,No
307,P02,No
307,P03,No
308,P01,No
308,P02,Yes
308,P03,No
309,P01,No
309,P02,No
309,P03,Yes
310,P01,Yes
310,P02,No
310,P03,Yes
311,P01,No
311,P02,Yes
311,P03,No
312,P01,No
312,P02,Yes
312,P03,Yes
313,P01,Yes
313,P02,No
313,P03,No
314,P01,Yes
314,P02,No
314,P03,Yes
315,P01,No
315,P02,No
315,P03,No
316,P01,No
316,P02,Yes
316,P03,Yes
317,P01,No
317,P02,No
317,P03,No
318,P01,No
318,P02,No
318,P03,No
319,P01,No
319,P02,No
319,P03,No
320,P01,No
320,P02,Yes
320,P03,No
321,P01,Yes
321,P02,Yes
321,P03,No
322,P01,No
322,P02,No
322,P03,No
323,P01,No
323,P02,No
323,P03,Yes
324,P01,No
324,P02,No
324,P03,No
325,P01,No
325,P02,No
325,P03,No
326,P01,No
326,P02,Yes
326,P03,Yes
327,P01,No
327,P02,No
327,P03,No
328,P01,No
328,P02,Yes
328,P03,No
329,P01,No
329,P02,No
329,P03,Yes
330,P01,No
330,P02,No
330,P03,Yes
331,P01,Yes
331,P02,No
331,P03,No
332,P01,No
332,P02,No
332,P03,Yes
333,P01,No
333,P02,No
333,P03,No
334,P01,Yes
334,P02,No
334,P03,No
335,P01,No
335,P02,No
335,P03,Yes
336,P01,No
336,P02,No
336,P03,No
337,P01,No
337,P02,Yes
337,P03,No
338,P01,No
338,P02,No
338,P03,Yes
339,P01,No
339,P02,No
339,P03,Yes
340,P01,Yes
340,P02,No
340,P03,No
341,P01,No
341,P02,No
341,P03,No
342,P01,No
342,P02,No
342,P03,No
343,P01,Yes
343,P02,No
343,P03,No
344,P01,No
344,P02,No
344,P03,No
345,P01,Yes
345,P02,No
345,P03,No
346,P01,No
346,P02,No
346,P03,Yes
347,P01,Yes
347,P02,No
347,P03,No
348,P01,No
348,P02,No
348,P03,No
349,P01,No
349,P02,Yes
349,P03,No
350,P01,No
350,P02,No
350,P03,No
351,P01,No
351,P02,No
351,P03,No
352,P01,No
352,P02,No
352,P03,No
353,P01,No
353,P02,Yes
353,P03,Yes
354,P01,No
354,P02,No
354,P03,No
355,P01,No
355,P02,Yes
355,P03,No
356,P01,No
356,P02,No
356,P03,Yes
357,P01,No
357,P02,No
357,P03,Yes
358,P01,No
358,P02,No
358,P03,Yes
359,P01,No
359,P02,No
359,P03,No
360,P01,No
360,P02,Yes
360,P03,No
361,P01,No
361,P02,No
361,P03,No
362,P01,No
362,P02,Yes
362,P03,No
363,P01,Yes
363,P02,No
363,P03,Yes
364,P01,No
364,P02,No
364,P03,No
365,P01,No
365,P02,No
365,P03,No
366,P01,No
366,P02,No
366,P03,No
367,P01,Yes
367,P02,No
367,P03,No
368,P01,No
368,P02,No
368,P03,No
369,P01,Yes
369,P02,No
369,P03,No
370,P01,No
370,P02,No
370,P03,No
371,P01,Yes
371,P02,No
371,P03,No
372,P01,Yes
372,P02,No
372,P03,No
373,P01,No
373,P02,Yes
373,P03,Yes
374,P01,Yes
374,P02,No
374,P03,Yes
375,P01,Yes
375,P02,No
375,P03,No
376,P01,No
376,P02,Yes
376,P03,No
377,P01,Yes
377,P02,No
377,P03,No
378,P01,No
378,P02,No
378,P03,Yes
379,P01,Yes
379,P02,No
379,P03,No
380,P01,No
380,P02,Yes
380,P03,No
381,P01,Yes
381,P02,Yes
381,P03,Yes
382,P01,Yes
382,P02,No
382,P03,No
383,P01,Yes
383,P02,No
383,P03,No
384,P01,No
384,P02,No
384,P03,No
385,P01,Yes
385,P02,Yes
385,P03,No
386,P01,Yes
386,P02,No
386,P03,No
387,P01,Yes
387,P02,Yes
387,P03,No
388,P01,No
388,P02,No
388,P03,Yes
389,P01,No
389,P02,Yes
389,P03,No
390,P01,No
390,P02,Yes
390,P03,Yes
391,P01,Yes
391,P02,Yes
391,P03,No
392,P01,No
392,P02,No
392,P03,Yes
393,P01,No
393,P02,Yes
393,P03,No
394,P01,No
394,P02,No
394,P03,No
395,P01,No
395,P02,No
395,P03,No
396,P01,No
396,P02,No
396,P03,Yes
397,P01,Yes
397,P02,No
397,P03,Yes
398,P01,No
398,P02,No
398,P03,Yes
399,P01,No
399,P02,Yes
399,P03,No
400,P01,Yes
400,P02,No
400,P03,No
401,P01,Yes
401,P02,No
401,P03,No
402,P01,No
402,P02,Yes
402,P03,No
403,P01,No
403,P02,Yes
403,P03,No
404,P01,No
404,P02,No
404,P03,No
405,P01,No
405,P02,No
405,P03,No
406,P01,No
406,P02,No
406,P03,No
407,P01,No
407,P02,No
407,P03,No
408,P01,No
408,P02,No
408,P03,No
409,P01,No
409,P02,Yes
409,P03,No
410,P01,No
410,P02,Yes
410,P03,No
411,P01,No
411,P02,No
411,P03,No
412,P01,Yes
412,P02,No
412,P03,Yes
413,P01,Yes
413,P02,No
413,P03,Yes
414,P01,No
414,P02,No
414,P03,Yes
415,P01,No
415,P02,Yes
415,P03,Yes
416,P01,No
416,P02,Yes
416,P03,Yes
417,P01,No
417,P02,Yes
417,P03,No
418,P01,No
418,P02,No
418,P03,No
419,P01,Yes
419,P02,No
419,P03,Yes
420,P01,Yes
420,P02,No
420,P03,No
421,P01,Yes
421,P02,Yes
421,P03,No
422,P01,Yes
422,P02,No
422,P03,No
423,P01,No
423,P02,No
423,P03,No
424,P01,No
424,P02,No
424,P03,Yes
425,P01,Yes
425,P02,No
425,P03,Yes
426,P01,Yes
426,P02,Yes
426,P03,No
427,P01,No
427,P02,No
427,P03,No
428,P01,No
428,P02,Yes
428,P03,No
429,P01,No
429,P02,No
429,P03,No
430,P01,No
430,P02,No
430,P03,No
431,P01,No
431,P02,No
431,P03,Yes
432,P01,No
432,P02,Yes
432,P03,No
433,P01,No
433,P02,No
433,P03,No
434,P01,No
434,P02,No
434,P03,Yes
435,P01,No
435,P02,No
435,P03,No
436,P01,Yes
436,P02,No
436,P03,Yes
437,P01,No
437,P02,No
437,P03,No
438,P01,No
438,P02,No
438,P03,No
439,P01,No
439,P02,Yes
439,P03,No
440,P01,No
440,P02,No
440,P03,No
441,P01,Yes
441,P02,No
441,P03,No
442,P01,No
442,P02,No
442,P03,No
443,P01,Yes
443,P02,No
443,P03,No
444,P01,No
444,P02,Yes
444,P03,No
445,P01,No
445,P02,Yes
445,P03,No
446,P01,Yes
446,P02,No
446,P03,Yes
447,P01,No
447,P02,Yes
447,P03,No
448,P01,No
448,P02,No
448,P03,Yes
449,P01,No
449,P02,Yes
449,P03,No
450,P01,No
450,P02,No
450,P03,No
451,P01,No
451,P02,No
451,P03,No
452,P01,No
452,P02,No
452,P03,No
453,P01,Yes
453,P02,Yes
453,P03,No
454,P01,No
454,P02,No
454,P03,No
455,P01,No
455,P02,No
455,P03,No
456,P01,No
456,P02,No
456,P03,Yes
457,P01,Yes
457,P02,Yes
457,P03,Yes
458,P01,No
458,P02,No
458,P03,No
459,P01,No
459,P02,No
459,P03,Yes
460,P01,No
460,P02,Yes
460,P03,No
461,P01,Yes
461,P02,Yes
461,P03,No
462,P01,Yes
462,P02,Yes
462,P03,No
463,P01,No
463,P02,Yes
463,P03,Yes
464,P01,No
464,P02,No
464,P03,No
465,P01,Yes
465,P02,No
465,P03,No
466,P01,No
466,P02,No
466,P03,No
467,P01,No
467,P02,No
467,P03,No
468,P01,Yes
468,P02,Yes
468,P03,No
469,P01,Yes
469,P02,No
469,P03,No
470,P01,No
470,P02,Yes
470,P03,No
471,P01,No
471,P02,No
471,P03,No
472,P01,No
472,P02,Yes
472,P03,Yes
473,P01,No
473,P02,No
473,P03,No
474,P01,No
474,P02,No
474,P03,No
475,P01,Yes
475,P02,Yes
475,P03,Yes
476,P01,No
476,P02,No
476,P03,No
477,P01,No
477,P02,No
477,P03,Yes
478,P01,No
478,P02,No
478,P03,Yes
479,P01,Yes
479,P02,No
479,P03,No
480,P01,Yes
480,P02,No
480,P03,No
481,P01,No
481,P02,No
481,P03,No
482,P01,No
482,P02,No
482,P03,No
483,P01,Yes
483,P02,No
483,P03,No
484,P01,No
484,P02,No
484,P03,Yes
485,P01,Yes
485,P02,No
485,P03,No
486,P01,No
486,P02,No
486,P03,No
487,P01,Yes
487,P02,No
487,P03,No
488,P01,No
488,P02,No
488,P03,Yes
489,P01,No
489,P02,No
489,P03,No
490,P01,No
490,P02,No
490,P03,No
491,P01,No
491,P02,No
491,P03,No
492,P01,No
492,P02,No
492,P03,Yes
493,P01,No
493,P02,Yes
493,P03,No
494,P01,Yes
494,P02,No
494,P03,Yes
495,P01,No
495,P02,No
495,P03,No
496,P01,No
496,P02,Yes
496,P03,No
497,P01,No
497,P02,No
497,P03,Yes
498,P01,No
498,P02,No
498,P03,No
499,P01,No
499,P02,Yes
499,P03,No
500,P01,No
500,P02,No
500,P03,No
501,P01,Yes
501,P02,Yes
501,P03,No
502,P01,No
502,P02,No
502,P03,No
503,P01,Yes
503,P02,No
503,P03,No
504,P01,No
504,P02,No
504,P03,No
505,P01,No
505,P02,No
505,P03,Yes
506,P01,Yes
506,P02,No
506,P03,No
507,P01,Yes
507,P02,No
507,P03,No
508,P01,No
508,P02,No
508,P03,No
509,P01,Yes
509,P02,Yes
509,P03,Yes
510,P01,Yes
510,P02,No
510,P03,Yes
511,P01,No
511,P02,Yes
511,P03,Yes
512,P01,Yes
512,P02,No
512,P03,No
513,P01,No
513,P02,No
513,P03,No
514,P01,No
514,P02,No
514,P03,No
515,P01,Yes
515,P02,No
515,P03,No
516,P01,Yes
516,P02,Yes
516,P03,Yes
517,P01,No
517,P02,No
517,P03,Yes
518,P01,Yes
518,P02,Yes
518,P03,No
519,P01,No
519,P02,Yes
519,P03,No
520,P01,No
520,P02,No
520,P03,No
521,P01,No
521,P02,Yes
521,P03,Yes
522,P01,No
522,P02,No
522,P03,No
523,P01,No
523,P02,No
523,P03,No
524,P01,No
524,P02,No
524,P03,No
525,P01,Yes
525,P02,No
525,P03,No
526,P01,No
526,P02,No
526,P03,Yes
527,P01,No
527,P02,No
527,P03,No
528,P01,Yes
528,P02,Yes
528,P03,No
529,P01,No
529,P02,No
529,P03,Yes
530,P01,No
530,P02,No
530,P03,No
531,P01,Yes
531,P02,Yes
531,P03,No
532,P01,No
532,P02,No
532,P03,No
533,P01,No
533,P02,Yes
533,P03,No
534,P01,No
534,P02,No
534,P03,No
535,P01,No
535,P02,No
535,P03,Yes
536,P01,No
536,P02,No
536,P03,No
537,P01,Yes
537,P02,No
537,P03,No
538,P01,Yes
538,P02,Yes
538,P03,No
539,P01,No
539,P02,Yes
539,P03,Yes
540,P01,No
540,P02,Yes
540,P03,No
541,P01,No
541,P02,Yes
541,P03,No
542,P01,No
542,P02,Yes
542,P03,Yes
543,P01,No
543,P02,Yes
543,P03,No
544,P01,Yes
544,P02,Yes
544,P03,No
545,P01,Yes
545,P02,No
545,P03,Yes
546,P01,Yes
546,P02,No
546,P03,Yes
547,P01,No
547,P02,No
547,P03,No
548,P01,Yes
548,P02,Yes
548,P03,Yes
549,P01,Yes
549,P02,No
549,P03,No
550,P01,No
550,P02,No
550,P03,No
551,P01,Yes
551,P02,Yes
551,P03,Yes
552,P01,Yes
552,P02,Yes
552,P03,No
553,P01,No
553,P02,Yes
553,P03,Yes
554,P01,No
554,P02,No
554,P03,No
555,P01,Yes
555,P02,No
555,P03,Yes
556,P01,No
556,P02,No
556,P03,No
557,P01,No
557,P02,Yes
557,P03,Yes
558,P01,No
558,P02,Yes
558,P03,No
559,P01,No
559,P02,Yes
559,P03,Yes
560,P01,Yes
560,P02,No
560,P03,No
561,P01,No
561,P02,No
561,P03,No
562,P01,Yes
562,P02,No
562,P03,No
563,P01,No
563,P02,Yes
563,P03,Yes
564,P01,No
564,P02,Yes
564,P03,No
565,P01,Yes
565,P02,No
565,P03,No
566,P01,No
566,P02,Yes
566,P03,No
567,P01,No
567,P02,No
567,P03,No
568,P01,No
568,P02,No
568,P03,No
569,P01,No
569,P02,Yes
569,P03,Yes
570,P01,No
570,P02,No
570,P03,Yes
571,P01,No
571,P02,Yes
571,P03,Yes
572,P01,No
572,P02,Yes
572,P03,Yes
573,P01,No
573,P02,Yes
573,P03,No
574,P01,No
574,P02,No
574,P03,No
575,P01,No
575,P02,No
575,P03,No
576,P01,Yes
576,P02,Yes
576,P03,Yes
577,P01,Yes
577,P02,No
577,P03,No
578,P01,No
578,P02,Yes
578,P03,No
579,P01,No
579,P02,No
579,P03,No
580,P01,Yes
580,P02,Yes
580,P03,No
581,P01,Yes
581,P02,No
581,P03,No
582,P01,No
582,P02,No
582,P03,No
583,P01,No
583,P02,Yes
583,P03,No
584,P01,No
584,P02,No
584,P03,No
585,P01,No
585,P02,Yes
585,P03,No
586,P01,No
586,P02,No
586,P03,Yes
587,P01,Yes
587,P02,Yes
587,P03,No
588,P01,Yes
588,P02,No
588,P03,No
589,P01,No
589,P02,Yes
589,P03,Yes
590,P01,No
590,P02,Yes
590,P03,Yes
591,P01,No
591,P02,Yes
591,P03,No
592,P01,Yes
592,P02,No
592,P03,No
593,P01,Yes
593,P02,Yes
593,P03,Yes
594,P01,No
594,P02,No
594,P03,No
595,P01,No
595,P02,No
595,P03,No
596,P01,No
596,P02,Yes
596,P03,No
597,P01,No
597,P02,Yes
597,P03,Yes
598,P01,No
598,P02,Yes
598,P03,No
599,P01,No
599,P02,No
599,P03,No
600,P01,Yes
600,P02,No
600,P03,No
601,P01,No
601,P02,No
601,P03,Yes
602,P01,No
602,P02,No
602,P03,No
603,P01,No
603,P02,No
603,P03,No
604,P01,Yes
604,P02,No
604,P03,Yes
605,P01,Yes
605,P02,No
605,P03,No
606,P01,Yes
606,P02,Yes
606,P03,No
607,P01,No
607,P02,No
607,P03,No
608,P01,No
608,P02,No
608,P03,No
609,P01,No
609,P02,No
609,P03,No
610,P01,No
610,P02,No
610,P03,No
611,P01,No
611,P02,Yes
611,P03,No
612,P01,No
612,P02,No
612,P03,Yes
613,P01,No
613,P02,No
613,P03,No
614,P01,No
614,P02,No
614,P03,No
615,P01,No
