survey_id,exercise_frequency_id,sleep_hours,sleep_quality_score
213,102,8.5,92
214,102,5.3,56
215,103,5.8,57
216,102,6.2,74
217,103,7.6,84
218,101,6.7,72
219,103,6.6,81
220,103,6.7,76
221,103,5.4,67
222,103,7.2,100
223,102,6.7,79
224,102,6.9,69
225,103,5.5,60
226,101,5.9,57
227,103,5.8,79
228,101,7.2,86
229,103,7.6,85
230,101,5.7,58
231,101,6.5,67
232,101,7.6,100
233,102,6.8,89
234,101,7.1,77
235,103,6.2,62
236,103,5.6,64
237,102,6.8,85
238,101,7.0,69
239,101,5.5,65
240,102,7.7,100
241,101,6.6,70
242,103,7.0,75
243,103,7.3,92
244,101,6.8,77
245,103,6.7,83
246,102,5.9,71
247,103,6.2,60
248,103,7.0,89
249,102,6.1,67
250,103,7.2,92
251,101,6.4,75
252,102,6.9,82
253,103,6.6,96
254,102,7.5,69
255,102,5.8,71
256,102,6.5,69
257,103,6.5,79
258,103,6.6,62
259,101,6.9,94
260,102,7.6,83
261,102,6.9,77
262,102,6.2,69
263,101,6.6,83
264,101,7.4,89
265,103,7.9,100
266,102,7.3,81
267,102,7.4,92
268,102,6.1,70
269,102,5.3,45
270,103,6.0,73
271,102,6.3,75
272,102,5.0,53
273,103,7.9,77
274,103,7.6,97
275,101,7.2,90
276,103,5.8,61
277,101,6.5,70
278,102,7.4,100
279,101,6.2,69
280,101,6.4,71
281,102,7.7,83
282,101,5.1,69
283,102,7.2,89
284,101,7.2,84
285,101,5.9,60
286,101,6.2,85
287,102,5.3,41
288,102,6.8,76
289,103,6.1,58
290,101,7.2,62
291,103,8.0,83
292,102,5.8,51
293,101,7.7,89
294,102,5.8,71
295,102,6.5,77
296,101,6.7,79
297,102,7.0,89
298,102,6.1,74
299,102,4.4,47
300,101,8.2,100
301,101,6.1,73
302,103,6.6,70
303,102,8.1,100
304,103,6.9,100
305,102,4.9,60
306,101,6.6,78
307,102,8.3,94
308,101,5.9,69
309,101,5.1,47
310,101,5.5,72
311,102,5.3,53
312,103,5.4,77
313,101,7.2,81
314,101,6.6,75
315,103,7.6,92
316,103,7.2,83
317,101,5.4,70
318,102,7.5,81
319,102,7.5,89
320,101,5.7,67
321,103,5.3,45
322,102,7.5,96
323,102,6.7,69
324,103,7.5,86
325,102,5.8,74
326,102,6.1,69
327,102,6.0,79
328,101,5.4,65
329,102,5.5,71
330,103,7.1,85
331,102,5.5,41
332,102,6.0,67
333,102,6.3,57
334,102,7.1,85
335,103,8.2,87
336,101,5.5,51
337,103,6.8,75
338,102,6.4,93
339,102,7.6,100
340,102,7.6,99
341,101,6.2,88
342,102,7.0,85
343,102,4.0,23
344,102,6.3,79
345,102,6.9,64
346,103,6.6,75
347,101,7.6,95
348,102,6.5,76
349,103,6.7,74
350,101,5.7,74
351,102,5.4,63
352,101,6.5,63
353,102,7.6,100
354,102,6.8,77
355,103,8.4,100
356,102,6.5,74
357,103,7.3,96
358,102,6.4,87
359,101,5.3,66
360,103,6.1,54
361,103,4.9,42
362,101,6.8,81
363,101,7.5,93
364,102,6.9,83
365,101,4.9,44
366,102,5.7,55
367,101,5.7,73
368,102,6.2,65
369,102,6.9,92
370,103,5.7,66
371,102,7.4,74
372,102,7.6,92
373,101,5.8,69
374,102,5.1,32
375,101,6.4,71
376,101,7.1,98
377,101,6.4,75
378,101,6.3,84
379,102,7.4,90
380,102,7.9,100
381,102,7.1,71
382,102,8.2,94
383,102,6.9,77
384,103,7.4,81
385,102,5.5,69
386,101,7.1,84
387,103,5.2,64
388,101,6.9,89
389,102,7.7,92
390,101,6.8,79
391,102,7.7,100
392,102,7.4,84
393,102,6.4,80
394,102,7.6,94
395,101,5.4,65
396,102,5.4,62
397,102,8.1,99
398,103,6.9,72
399,103,7.0,78
400,103,6.6,80
401,101,5.7,59
402,102,7.2,84
403,103,8.8,97
404,101,6.3,62
405,103,7.3,73
406,101,6.8,84
407,103,6.9,81
408,102,5.8,68
409,103,7.2,98
410,103,6.7,80
411,101,6.0,73
412,102,6.4,91
413,103,6.6,58
414,101,6.1,55
415,103,9.5,100
416,101,6.0,70
417,102,6.2,83
418,103,8.1,97
419,101,6.1,79
420,102,6.5,81
421,101,6.4,69
422,102,7.8,100
423,101,4.8,58
424,103,5.3,73
425,101,5.4,56
426,101,6.5,83
427,101,6.0,63
428,103,8.2,93
429,103,7.3,79
430,102,7.0,73
431,101,6.8,75
432,102,7.7,100
433,102,6.4,91
434,103,8.2,100
435,102,5.9,63
436,103,6.3,87
437,103,7.3,90
438,102,5.7,57
439,102,5.9,56
440,103,7.2,100
441,103,7.0,72
442,101,5.2,73
443,101,8.0,95
444,102,7.0,79
445,102,6.3,90
446,103,7.7,100
447,101,5.7,58
448,102,8.3,95
449,102,7.4,100
450,101,5.9,65
451,101,6.1,82
452,102,6.0,64
453,101,7.5,85
454,103,6.9,99
455,102,5.8,84
456,102,6.5,79
457,102,6.7,91
458,101,7.6,79
459,103,7.0,77
460,102,4.6,47
461,101,7.2,89
462,102,8.0,80
463,102,7.1,85
464,103,7.4,79
465,102,6.4,66
466,102,8.3,95
467,102,7.8,100
468,102,5.6,55
469,103,7.4,80
470,101,6.1,68
471,103,8.0,100
472,102,6.0,56
473,102,6.1,90
474,103,6.2,84
475,103,5.1,71
476,103,7.7,80
477,101,7.1,76
478,102,7.2,76
479,102,6.7,87
480,103,6.1,66
481,101,6.8,84
482,102,6.9,74
483,103,6.4,79
484,102,6.8,67
485,102,6.6,87
486,101,6.5,62
487,103,7.5,92
488,103,4.6,66
489,102,8.9,100
490,102,6.6,83
491,101,5.5,77
492,101,7.7,87
493,103,6.6,71
494,102,7.1,96
495,101,8.3,96
496,103,5.4,56
497,102,5.0,50
498,103,7.4,81
499,101,6.8,95
500,101,6.1,72
501,101,7.3,74
502,103,7.4,100
503,103,6.4,75
504,102,8.2,99
505,102,7.7,92
506,103,6.7,96
507,103,7.8,86
508,102,6.8,75
509,101,6.4,84
510,102,7.1,84
511,101,5.9,76
512,101,6.9,83
513,102,6.1,59
514,101,5.8,83
515,102,5.8,75
516,101,5.1,56
517,102,8.1,84
518,103,7.0,80
519,102,4.9,57
520,102,7.5,76
521,103,5.7,63
522,102,6.5,91
523,102,5.0,57
524,103,6.2,77
525,102,6.7,74
526,102,5.1,45
527,103,6.0,73
528,103,7.1,76
529,101,5.6,65
530,103,5.7,88
531,101,7.0,83
532,103,5.7,61
533,102,7.7,92
534,103,7.1,77
535,102,6.1,56
536,102,7.9,91
537,103,7.3,92
538,102,5.6,67
539,101,5.8,56
540,102,6.2,86
541,103,7.2,85
542,103,6.1,72
543,102,6.5,85
544,102,6.8,82
545,102,6.5,97
546,101,7.0,74
547,103,7.5,85
548,101,6.0,75
549,102,4.7,51
550,102,7.4,88
551,102,6.7,81
552,102,6.2,74
553,103,6.5,77
554,102,5.7,66
555,102,6.9,85
556,103,6.6,68
557,101,7.8,100
558,101,4.8,65
559,103,6.4,95
560,102,7.9,100
561,101,6.5,87
562,103,6.0,67
563,102,7.6,74
564,101,5.8,54
565,102,4.9,77
566,101,6.4,83
567,102,5.9,70
568,102,6.8,80
569,102,7.3,70
570,101,6.2,71
571,101,5.0,69
572,103,6.6,83
573,102,6.6,61
574,103,7.2,91
575,101,5.8,77
576,103,6.3,71
577,103,7.2,83
578,102,6.4,78
579,102,7.1,81
580,102,6.0,73
581,103,7.5,93
582,102,6.4,72
583,101,6.1,63
584,102,5.7,57
585,101,7.5,89
586,101,6.9,89
587,101,6.1,59
588,102,6.2,71
589,102,7.9,100
590,101,6.4,82
591,103,6.2,61
592,101,7.0,86
593,102,5.4,70
594,102,6.8,82
595,103,7.5,77
596,103,7.9,100
597,102,7.1,73
598,102,7.7,100
599,102,5.7,70
600,103,7.2,80
601,102,6.4,79
602,103,8.5,98
603,102,5.4,70
604,102,5.3,57
605,102,6.8,92
606,103,5.4,55
607,101,7.3,90
608,102,6.3,60
609,101,5.6,93
610,102,5.7,65
611,103,6.7,76
612,103,5.0,59
613,103,8.5,96
614,103,5.3,45
615,102,6.7,75
616,103,8.1,80
617,103,7.3,79
618,102,5.4,56
619,101,7.9,87
620,101,6.2,77
621,102,6.6,84
622,103,7.6,87
623,101,7.0,72
624,102,7.1,85
625,102,7.4,100
626,102,7.6,84
627,102,6.5,73
628,101,5.3,68
629,101,7.2,79
630,101,6.9,88
631,103,6.4,66
632,103,7.3,62
633,103,8.5,100
634,102,6.6,70
635,103,6.5,76
636,102,6.5,59
637,102,6.2,57
638,101,7.9,93
639,102,6.1,80
640,101,7.0,94
641,101,7.0,87
642,103,7.5,78
643,103,6.7,58
644,103,5.8,68
645,103,6.5,66
646,102,6.4,66
647,102,6.0,72
648,102,7.2,100
649,103,7.1,91
650,101,7.1,87
651,101,7.7,100
652,101,7.0,71
653,103,6.7,80
654,101,5.7,36
655,101,5.7,67
656,103,5.1,62
657,102,7.2,77
658,102,7.8,91
659,102,5.1,73
660,103,7.4,88
661,101,5.4,60
662,102,6.7,77
663,103,7.7,100
664,101,6.6,69
665,101,5.4,44
666,102,7.1,71
667,103,7.2,63
668,102,7.3,89
669,102,7.5,90
670,103,7.5,88
671,101,6.0,84
672,102,7.3,71
673,101,6.8,72
674,102,6.8,84
675,101,5.9,69
676,103,6.8,79
677,102,7.4,85
678,102,6.9,78
679,102,6.8,71
680,103,7.7,86
681,103,7.0,80
682,101,7.2,95
683,101,6.2,78
684,101,7.4,79
685,103,6.0,87
686,102,6.8,80
687,102,7.0,83
688,102,7.1,85
689,102,7.1,97
690,101,5.1,56
691,102,7.7,91
692,101,7.7,100
693,101,6.3,64
694,101,6.5,75
695,101,6.7,80
696,102,6.0,74
697,102,6.1,74
698,102,6.7,81
699,102,7.6,100
700,102,6.7,76
701,101,6.8,70
702,101,7.3,100
703,102,6.9,77
704,103,6.9,97
705,102,5.8,66
706,103,6.3,79
707,103,7.5,92
708,102,6.7,70
709,103,6.5,73
710,102,4.4,50
711,103,6.5,90
712,103,6.5,84
713,102,5.7,69
714,103,7.6,86
715,101,6.6,77
716,103,6.7,79
717,101,7.0,80
718,102,7.3,94
719,103,7.5,100
720,102,5.8,73
721,103,6.0,68
722,102,7.8,100
723,102,6.4,73
724,102,6.2,81
725,102,5.7,84
726,103,7.1,90
727,102,5.9,57
728,101,7.0,68
729,102,6.6,91
730,101,6.1,76
731,102,7.4,82
732,102,6.1,79
733,102,5.9,78
734,101,5.3,70
735,102,6.4,64
736,102,5.1,41
737,102,6.3,89
738,103,7.6,86
739,101,6.5,75
740,102,7.9,86
741,102,8.2,94
742,102,6.1,95
743,102,8.0,91
744,102,5.4,49
745,101,6.3,77
746,103,6.4,79
747,102,7.6,87
748,101,7.1,72
749,102,6.7,80
750,101,7.9,97
751,102,7.4,79
752,103,6.7,87
753,102,6.6,84
754,102,6.0,78
755,102,6.2,84
756,102,6.3,75
757,102,6.7,71
758,102,6.3,68
759,103,6.7,67
760,102,6.5,81
761,102,4.9,27
762,102,8.7,100
763,101,7.5,100
764,102,7.7,81
765,103,6.2,70
766,101,6.3,90
767,101,6.6,65
768,101,7.1,99
769,103,7.2,84
770,102,5.5,53
771,101,6.7,77
772,102,7.1,93
773,101,6.1,49
774,103,7.0,87
775,103,6.4,69
776,102,6.1,71
777,102,5.6,78
778,102,5.8,59
779,103,6.9,82
780,102,7.7,97
781,101,7.8,87
782,103,6.8,68
783,101,6.6,92
784,103,7.3,69
785,101,6.3,84
786,101,6.6,72
787,103,6.7,98
788,101,7.7,91
789,103,7.0,85
790,102,6.9,92
791,102,7.2,93
792,103,7.6,80
793,102,6.2,52
794,102,6.3,50
795,103,8.0,100
796,101,5.7,67
797,103,7.2,87
798,101,5.2,71
799,103,7.9,94
800,102,7.7,100
801,101,6.9,72
802,103,6.4,62
803,103,6.1,80
804,103,8.1,100
805,101,7.6,79
806,101,6.7,89
807,101,6.5,75
808,102,6.9,82
809,102,7.6,94
810,103,4.4,52
811,102,6.8,100
812,102,5.3,49
813,103,6.4,91
814,102,7.2,85
815,102,5.6,71
816,103,7.6,83
817,101,5.2,66
818,103,4.9,56
819,101,7.2,80
820,102,7.8,90
821,102,4.0,42
822,102,5.3,47
823,103,6.4,68
824,101,6.8,77
825,101,8.4,88
826,101,5.4,51
827,101,5.0,57
828,102,5.8,82
829,101,8.2,86
830,102,7.3,78
831,102,7.2,84
832,103,6.7,80
833,103,7.0,69
834,102,8.0,100
835,101,6.5,71
836,102,6.1,77
837,103,8.5,94
838,102,5.5,60
839,102,6.3,77
840,103,7.9,86
841,101,5.4,72
842,103,6.9,72
843,102,6.0,80
844,103,7.0,92
845,102,7.8,91
846,103,6.4,82
847,102,7.3,80
848,101,7.1,78
849,102,6.8,78
850,102,5.6,60
851,102,6.1,83
852,102,7.0,57
853,103,6.8,89
854,102,7.1,72
855,102,6.6,58
856,103,6.3,55
857,103,6.7,78
858,101,5.7,53
859,102,5.9,72
860,103,6.6,73
861,102,7.4,83
862,102,5.5,73
863,102,6.3,59
864,102,6.3,86
865,103,7.0,82
866,101,6.7,75
867,103,7.1,77
868,103,6.1,69
869,102,7.1,96
870,101,4.9,60
871,103,6.4,89
872,101,5.8,80
873,102,6.9,84
874,103,7.0,91
875,103,7.3,78
876,102,6.6,87
877,102,5.9,73
878,103,8.7,87
879,103,8.2,93
880,102,8.1,100
881,102,5.2,48
882,102,6.4,91
883,102,7.0,83
884,102,7.4,90
885,102,7.4,72
886,101,6.8,73
887,101,5.8,62
888,102,5.6,64
889,103,7.8,65
890,103,6.0,83
891,103,6.8,67
892,101,5.1,42
893,103,9.1,95
894,102,5.3,55
895,102,6.0,73
896,103,6.9,81
897,101,6.2,74
898,102,6.5,89
899,101,6.9,88
900,101,6.4,73
901,102,6.0,65
902,102,7.8,86
903,102,8.2,94
904,102,6.7,54
905,101,6.7,85
906,102,5.5,63
907,102,6.2,77
908,103,5.5,71
909,101,7.3,98
910,102,6.7,74
911,102,6.5,76
912,102,7.7,97
913,102,8.0,100
914,102,5.9,53
915,101,5.7,55
916,102,6.6,79
917,101,6.2,75
918,101,6.8,79
919,102,6.4,76
920,102,7.0,72
921,101,5.9,64
922,101,6.0,51
923,103,7.4,88
924,102,6.0,75
925,103,6.9,100
926,102,6.0,85
927,102,4.9,83
928,102,6.1,58
929,101,6.8,87
930,102,7.7,99
931,102,6.6,96
932,102,6.7,77
933,102,6.8,81
934,101,7.1,76
935,102,5.4,67
936,101,7.0,84
937,103,6.9,70
938,102,7.9,93
939,101,5.3,75
940,101,5.8,61
941,102,6.1,65
942,101,5.8,81
943,101,6.7,67
944,101,6.1,70
945,103,5.1,58
946,101,6.8,78
947,101,6.7,72
948,102,7.8,96
949,102,7.9,100
950,103,6.1,78
951,101,6.1,58
952,101,7.5,81
953,103,8.0,92
954,101,8.0,85
955,102,6.6,80
956,102,8.3,99
957,101,6.0,74
958,103,8.0,99
959,101,5.4,67
960,102,6.3,66
961,101,5.3,51
962,102,7.4,95
963,101,6.8,77
964,102,6.3,85
965,103,7.1,79
966,102,5.1,72
967,102,6.5,75
968,102,7.7,100
969,102,7.9,93
970,101,6.2,86
971,101,7.0,82
972,101,5.7,67
973,103,7.7,100
974,103,6.4,70
975,102,7.0,100
976,102,6.6,77
977,102,5.4,50
978,102,6.3,85
979,102,6.4,52
980,101,5.3,53
981,101,6.1,72
982,101,6.8,74
983,101,5.6,64
984,103,7.4,92
985,101,7.1,95
986,102,5.7,61
987,101,7.0,84
988,102,5.9,66
989,101,8.0,97
990,102,7.6,92
991,103,7.9,100
992,101,7.6,90
993,103,7.1,96
994,101,6.2,70
995,101,7.2,99
996,103,6.1,75
997,102,6.9,79
998,102,6.4,94
999,101,6.7,87
1000,103,5.2,68
1001,102,7.3,84
1002,101,4.9,60
1003,102,7.7,85
1004,102,4.9,73
1005,102,7.0,74
1006,102,6.1,59
1007,103,6.5,84
1008,103,7.0,63
1009,101,6.1,78
1010,101,6.5,71
1011,103,7.5,98
1012,102,6.5,84
1013,102,5.2,75
1014,101,7.7,90
1015,102,6.9,91
1016,103,7.0,89
1017,102,5.8,69
1018,101,7.3,87
1019,103,8.2,97
1020,103,8.4,79
1021,101,6.4,100
1022,101,5.7,63
1023,103,8.0,100
1024,103,6.7,82
1025,102,7.0,96
1026,102,7.6,88
1027,102,8.1,89
1028,102,6.8,80
1029,102,8.5,98
1030,101,6.8,70
1031,102,6.8,87
1032,102,5.2,63
1033,103,5.5,67
1034,103,6.3,46
1035,101,6.7,93
1036,103,7.7,100
1037,102,6.4,88
1038,102,6.9,86
1039,103,6.3,75
1040,102,5.7,72
1041,103,7.0,89
1042,102,8.0,80
1043,103,7.0,64
1044,101,7.7,94
1045,103,7.6,100
1046,102,6.1,84
1047,102,7.0,70
1048,101,6.9,88
1049,103,8.4,93
1050,101,6.9,73
1051,101,6.3,87
1052,102,5.9,65
1053,102,5.1,66
1054,102,6.7,92
1055,101,7.7,83
1056,101,7.0,93
1057,101,5.9,65
1058,101,6.9,80
1059,103,7.3,84
1060,101,7.1,82
1061,102,5.5,67
1062,101,6.7,81
1063,101,5.1,66
1064,101,6.0,76
1065,101,7.1,67
1066,102,6.9,69
1067,103,7.0,86
1068,102,5.6,73
1069,102,7.7,98
1070,102,7.4,100
1071,102,6.8,83
1072,102,7.1,83
1073,102,5.9,73
1074,102,5.6,81
1075,102,6.6,67
1076,101,7.5,79
1077,101,6.4,57
1078,103,7.7,97
1079,101,5.2,65
1080,102,6.8,90
1081,101,6.2,66
1082,101,6.5,79
1083,102,7.8,89
1084,102,5.7,69
1085,102,6.0,86
1086,101,6.5,64
1087,102,6.8,100
1088,101,6.7,85
1089,101,5.2,63
1090,102,5.7,61
1091,101,5.3,74
1092,101,6.0,64
1093,102,5.5,62
1094,103,6.2,64
1095,101,6.6,86
1096,103,8.5,88
1097,102,5.9,75
1098,101,8.0,97
1099,103,6.1,67
1100,103,6.9,85
1101,102,6.8,100
1102,102,6.9,86
1103,102,7.4,76
1104,101,5.3,56
1105,103,6.2,63
1106,102,6.0,55
1107,102,5.5,68
1108,102,8.3,97
1109,102,7.1,90
1110,102,6.2,68
1111,103,7.1,83
1112,103,5.9,84
1113,102,7.1,84
1114,102,6.7,67
1115,103,6.2,76
1116,101,7.3,80
1117,101,7.2,95
1118,101,6.7,72
1119,101,7.1,85
1120,102,6.3,91
1121,101,5.9,66
1122,102,6.9,87
1123,103,6.9,85
1124,102,7.7,70
1125,102,7.2,78
1126,103,6.8,50
1127,101,7.8,96
1128,101,7.4,80
1129,101,5.3,46
1130,101,7.5,100
1131,102,6.2,81
1132,102,6.3,64
1133,101,6.0,67
1134,102,6.4,55
1135,102,4.9,27
1136,101,5.9,61
1137,103,6.1,75
1138,103,7.4,80
1139,102,6.4,73
1140,103,5.4,63
1141,102,5.4,49
1142,102,7.5,95
1143,101,7.1,80
1144,103,7.2,89
1145,101,7.0,89
1146,102,5.6,69
1147,102,7.1,81
1148,103,8.0,89
1149,103,7.0,87
1150,103,7.6,80
1151,101,7.2,85
1152,101,7.5,99
1153,101,5.9,63
1154,101,6.1,66
1155,101,4.8,50
1156,102,7.5,67
1157,102,6.4,72
1158,102,7.3,78
1159,102,7.1,76
1160,103,6.4,66
1161,102,6.2,76
1162,103,7.0,74
1163,102,6.9,88
1164,103,6.0,64
1165,102,6.9,64
1166,101,5.7,71
1167,103,6.0,63
1168,103,6.4,90
1169,103,6.6,48
1170,102,5.2,46
1171,103,6.8,59
1172,102,6.1,81
1173,103,6.0,70
1174,103,8.5,100
1175,102,5.5,72
1176,101,6.0,58
1177,102,6.4,76
1178,102,5.8,55
1179,101,6.8,85
1180,102,7.7,90
1181,102,5.3,45
1182,101,7.7,88
1183,102,7.3,90
1184,102,7.2,91
1185,103,6.7,88
1186,102,7.4,84
1187,102,7.3,96
1188,103,7.4,72
1189,101,5.1,53
1190,102,8.6,100
1191,101,7.3,83
1192,101,7.5,98
1193,101,6.7,79
1194,102,6.6,77
1195,102,6.2,47
1196,101,6.2,86
1197,101,5.2,68
1198,102,8.5,100
1199,102,4.8,57
1200,103,5.2,69
1201,101,6.3,72
1202,101,6.6,61
1203,102,6.3,57
1204,101,6.5,77
1205,103,5.5,62
1206,101,7.6,84
1207,101,6.3,87
1208,101,6.5,67
1209,101,5.6,57
1210,101,4.8,47
1211,102,6.0,81
1212,103,8.0,100
1213,101,7.5,98
1214,101,7.8,95
1215,103,6.8,90
1216,101,7.4,86
1217,101,7.3,90
1218,102,6.2,75
1219,102,5.8,65
1220,102,6.0,67
1221,101,6.8,83
1222,103,4.0,50
1223,103,5.4,44
1224,101,7.7,89
1225,103,6.7,66
1226,103,6.1,55
1227,102,7.5,80
1228,101,5.4,70
1229,101,6.8,78
1230,102,6.6,88
1231,103,5.9,62
1232,102,6.3,71
1233,102,4.9,49
1234,101,7.1,92
1235,103,6.2,83
1236,103,6.3,61
1237,101,8.1,95
1238,101,6.1,60
1239,102,6.2,70
1240,101,7.1,81
1241,102,5.7,61
1242,102,7.5,100
1243,102,6.8,68
1244,102,6.8,95
1245,102,5.8,73
1246,102,5.9,73
1247,102,6.7,80
1248,101,6.0,54
1249,102,5.7,57
1250,102,7.4,90
1251,102,6.1,58
1252,102,5.5,69
1253,103,6.1,56
1254,102,7.4,94
1255,103,7.0,68
1256,102,7.8,73
1257,103,6.6,66
1258,102,6.8,81
1259,101,7.6,99
1260,101,7.0,72
1261,102,7.1,83
1262,102,7.2,76
1263,103,6.3,68
1264,101,5.9,62
1265,101,6.7,88
1266,102,6.9,98
1267,101,5.8,68
1268,103,7.3,59
1269,102,5.0,59
1270,102,6.1,73
1271,101,7.5,97
1272,103,6.5,72
1273,103,7.5,97
1274,102,6.0,66
1275,101,5.4,64
1276,102,5.9,56
1277,103,6.6,83
1278,102,7.4,86
1279,102,6.9,87
1280,101,8.3,100
1281,103,6.5,90
1282,102,5.6,62
1283,103,5.7,44
1284,102,7.5,97
1285,103,6.6,78
1286,101,6.8,86
1287,102,5.6,62
1288,102,6.7,77
1289,103,7.0,86
1290,102,9.2,100
1291,102,7.5,94
1292,102,8.3,100
1293,102,7.5,88
1294,102,7.6,82
1295,102,7.0,96
1296,101,5.6,69
1297,103,7.4,86
1298,101,8.9,93
1299,103,7.5,87
1300,102,6.9,89
1301,102,5.0,72
1302,102,6.3,85
1303,103,6.5,78
1304,102,6.3,60
1305,102,6.5,80
1306,103,8.0,83
1307,103,7.3,92
1308,103,8.1,100
1309,102,6.8,62
1310,102,7.1,84
1311,102,6.6,83
1312,103,7.0,91
1313,103,6.7,79
1314,103,7.6,76
1315,101,9.0,100
1316,102,6.1,83
1317,101,6.8,74
1318,102,8.5,100
1319,101,7.0,86
1320,101,5.0,41
1321,101,6.9,70
1322,102,5.6,58
1323,101,7.4,93
1324,101,7.4,79
1325,101,6.1,79
1326,102,7.1,56
1327,103,7.4,97
1328,102,7.7,100
1329,101,5.7,36
1330,102,6.5,81
1331,103,6.1,71
1332,102,7.6,100
1333,101,6.7,79
1334,102,7.3,96
1335,102,7.5,100
1336,102,6.9,94
1337,101,6.9,98
1338,102,5.9,62
1339,101,7.2,58
1340,102,6.1,72
1341,101,8.5,85
1342,102,6.8,85
1343,102,6.0,52
1344,103,8.0,97
1345,101,6.1,79
1346,102,6.2,86
1347,102,6.4,70
1348,103,8.6,100
1349,101,6.6,71
1350,103,6.4,57
1351,102,7.0,87
1352,103,7.7,99
1353,102,8.1,98
1354,102,5.6,57
1355,102,5.9,64
1356,103,6.1,83
1357,101,5.5,73
