survey_id,platform_id,content_type_id,daily_screen_time_hours,notification_checks_per_day,night_checking_frequency_id,uses_social_media_before_bed,social_media_detox_habit,limited_screen_time_habit
59,2,3,4.41,46,3,Yes,No,No
60,2,1,7.55,56,2,Yes,Yes,No
61,1,2,6.26,50,3,No,No,No
62,5,7,2.37,30,1,No,No,Yes
63,4,5,1.52,28,3,Yes,Yes,Yes
64,5,1,2.95,51,3,Yes,No,No
65,4,2,2.95,36,2,Yes,No,No
66,3,1,5.55,40,3,Yes,Yes,Yes
67,5,2,0.53,28,1,No,No,No
68,3,1,3.55,28,2,Yes,No,No
69,3,6,5.68,27,1,Yes,No,Yes
70,1,4,4.16,40,1,Yes,No,Yes
71,4,1,2.61,14,1,No,No,No
72,7,6,3.69,31,1,No,Yes,No
73,4,1,5.0,44,1,Yes,Yes,Yes
74,1,4,5.02,47,2,No,No,No
75,5,2,2.85,31,2,No,No,No
76,4,1,0.4,18,1,No,Yes,No
77,7,1,4.38,42,2,No,No,No
78,2,8,6.06,63,2,No,No,No
79,6,6,2.33,30,2,Yes,No,No
80,2,8,4.28,34,3,Yes,No,No
81,2,1,1.87,18,2,No,No,Yes
82,7,4,4.75,49,1,Yes,No,No
83,2,1,3.08,26,1,No,No,Yes
84,3,1,4.59,40,3,Yes,No,No
85,2,1,5.21,47,1,Yes,No,No
86,6,4,3.88,41,1,No,No,Yes
87,6,6,4.72,48,3,No,No,No
88,6,1,1.58,23,1,Yes,No,No
89,3,7,3.21,34,3,Yes,No,No
90,4,2,3.87,40,2,Yes,Yes,No
91,5,2,2.98,32,2,Yes,No,No
92,2,6,8.27,60,3,Yes,No,No
93,3,1,4.22,20,1,No,No,Yes
94,3,1,4.86,39,1,Yes,Yes,No
95,3,3,3.88,35,1,Yes,No,No
96,7,5,2.85,25,1,No,No,No
97,3,3,6.13,51,1,Yes,No,No
98,5,8,4.5,59,2,Yes,No,Yes
99,6,2,3.97,36,3,No,No,No
100,2,7,5.31,40,1,No,No,Yes
101,4,2,4.62,42,2,No,No,Yes
102,3,6,4.79,39,1,Yes,No,No
103,3,3,0.96,26,2,No,Yes,Yes
104,1,5,6.48,44,1,Yes,No,No
105,4,1,1.37,26,3,Yes,Yes,Yes
106,2,7,5.52,53,3,No,No,Yes
107,2,8,7.51,58,3,Yes,No,Yes
108,3,4,3.92,36,2,No,No,No
109,2,5,4.32,53,2,No,No,No
110,4,4,1.24,30,1,No,Yes,Yes
111,1,2,2.77,37,3,Yes,No,No
112,3,7,3.63,33,3,No,No,No
113,2,1,5.91,43,3,No,No,No
114,7,1,1.14,38,2,No,No,No
115,3,3,5.88,57,2,Yes,No,Yes
116,1,5,3.5,41,2,No,No,No
117,2,1,4.17,44,2,Yes,No,No
118,2,3,3.76,27,1,Yes,Yes,Yes
119,3,6,6.23,41,2,Yes,No,No
120,5,1,4.36,32,3,Yes,No,No
121,1,1,4.6,44,2,No,No,Yes
122,3,8,2.82,26,2,Yes,No,No
123,4,1,1.09,31,1,No,No,No
124,1,4,3.89,42,2,Yes,No,Yes
125,7,3,2.55,29,2,Yes,No,No
126,3,1,6.37,49,1,Yes,No,No
127,2,2,6.76,67,3,No,No,No
128,1,8,3.58,47,2,No,No,No
129,6,6,2.37,34,1,No,Yes,Yes
130,3,2,4.88,35,3,Yes,No,No
131,2,1,4.39,38,2,Yes,No,No
132,3,4,0.59,13,1,Yes,Yes,No
133,2,6,6.12,56,2,No,Yes,No
134,4,1,1.93,32,1,Yes,No,No
135,5,5,2.3,19,3,No,Yes,Yes
136,1,4,4.13,52,2,No,No,No
137,1,8,2.95,41,1,No,No,No
138,2,5,4.4,39,1,Yes,Yes,No
139,3,6,3.73,39,3,No,No,No
140,2,8,5.74,48,2,Yes,No,No
141,2,7,4.84,30,1,Yes,No,No
142,4,1,1.95,22,3,No,Yes,Yes
143,3,8,5.11,38,2,Yes,No,Yes
144,6,2,3.2,31,3,Yes,No,No
145,1,8,5.43,58,2,Yes,No,No
146,1,7,5.83,56,1,Yes,No,No
147,3,6,2.94,37,2,No,No,Yes
148,6,2,5.08,43,1,Yes,Yes,No
149,5,1,4.49,44,2,Yes,No,No
150,5,1,4.46,35,1,No,No,No
151,2,4,4.97,33,3,Yes,Yes,No
152,1,6,5.79,48,1,Yes,No,No
153,1,8,4.9,24,3,No,No,No
154,3,1,6.47,60,2,Yes,No,Yes
155,2,1,3.04,31,2,No,Yes,Yes
156,1,4,2.68,32,2,No,Yes,Yes
157,2,1,6.07,39,1,Yes,No,No
158,6,2,1.53,25,1,No,No,No
159,2,7,2.92,35,1,No,No,No
160,2,5,4.2,39,1,Yes,No,No
161,5,5,4.66,61,3,Yes,No,No
162,4,5,1.37,39,2,Yes,No,No
163,1,5,2.95,46,2,No,Yes,No
164,2,7,3.54,32,2,No,No,No
165,7,2,3.32,33,1,Yes,No,No
166,3,6,2.98,38,1,Yes,No,No
167,3,4,2.41,38,2,No,Yes,No
168,7,1,3.62,31,2,Yes,No,Yes
169,4,5,0.4,15,1,No,No,Yes
170,3,7,6.15,46,3,Yes,No,No
171,1,3,5.39,37,2,No,No,No
172,4,7,1.91,27,1,Yes,No,No
173,4,1,2.55,23,1,No,No,No
174,7,6,3.3,49,2,No,No,No
175,3,1,4.01,36,2,Yes,Yes,Yes
176,2,4,7.57,60,1,Yes,No,Yes
177,1,4,4.96,39,3,No,Yes,No
178,1,6,6.13,54,1,Yes,No,No
179,3,8,4.79,29,1,No,No,Yes
180,3,1,4.34,51,2,Yes,No,No
181,1,8,6.04,39,3,No,No,No
182,5,1,2.55,40,1,Yes,No,Yes
183,6,5,4.12,34,1,No,No,Yes
184,6,4,2.38,26,2,No,No,Yes
185,3,5,4.66,35,2,Yes,No,Yes
186,3,6,2.46,24,2,No,No,Yes
187,1,7,1.25,19,1,No,No,Yes
188,5,8,2.49,34,1,No,No,Yes
189,3,4,5.44,54,2,Yes,No,No
190,3,8,3.91,36,1,No,No,Yes
191,2,2,8.65,65,2,Yes,No,No
192,1,5,6.55,49,2,Yes,No,No
193,2,6,5.95,35,2,Yes,No,No
194,1,6,4.77,54,1,No,No,No
195,6,2,3.75,31,2,No,No,Yes
196,4,8,2.86,26,1,No,No,No
197,3,1,4.07,39,1,No,No,No
198,2,1,6.92,72,3,Yes,No,No
199,3,6,2.21,30,3,Yes,No,Yes
200,2,6,3.81,30,1,Yes,No,No
201,4,4,2.94,16,1,Yes,No,No
202,2,8,4.91,53,1,Yes,No,No
203,2,7,4.9,36,1,Yes,No,Yes
204,3,3,3.78,29,1,Yes,Yes,Yes
205,6,3,2.3,13,1,No,Yes,No
206,1,6,5.26,48,1,No,Yes,No
207,1,7,4.68,39,1,Yes,No,No
208,2,4,3.19,32,1,No,No,Yes
209,2,1,6.0,53,2,Yes,No,Yes
210,2,1,6.41,64,1,No,Yes,Yes
211,6,7,3.28,34,2,Yes,No,Yes
212,4,1,1.2,24,1,Yes,No,Yes
213,2,5,4.79,57,1,Yes,No,Yes
214,1,3,5.81,56,2,Yes,No,Yes
215,1,4,4.45,30,3,Yes,No,Yes
216,2,5,4.42,53,2,Yes,No,Yes
217,7,2,1.34,6,1,Yes,Yes,Yes
218,2,7,4.66,48,1,No,Yes,Yes
219,3,5,4.26,46,3,Yes,Yes,No
220,3,1,4.17,45,2,No,No,Yes
221,6,1,4.24,54,3,Yes,No,No
222,1,1,3.07,53,2,Yes,Yes,Yes
223,6,8,2.83,23,2,Yes,Yes,Yes
224,2,3,4.8,43,1,Yes,Yes,Yes
225,4,8,4.87,57,1,Yes,No,Yes
226,1,3,4.57,45,1,Yes,No,No
227,1,2,6.96,54,1,No,No,No
228,2,6,4.15,43,1,No,Yes,No
229,5,7,2.35,27,1,Yes,Yes,No
230,7,3,3.49,32,1,Yes,No,No
231,2,5,4.63,38,3,Yes,No,No
232,3,6,4.24,28,1,No,No,Yes
233,1,5,3.58,31,2,Yes,Yes,Yes
234,7,6,1.54,20,1,Yes,Yes,Yes
235,2,2,4.48,47,3,Yes,No,No
236,2,7,5.63,30,1,Yes,Yes,Yes
237,6,4,3.73,34,2,Yes,No,Yes
238,3,2,4.36,47,2,Yes,No,No
239,2,2,6.04,32,3,Yes,No,No
240,3,7,0.4,11,1,No,No,No
241,3,2,4.72,42,3,Yes,No,No
242,2,5,4.89,39,2,No,No,Yes
243,6,4,6.17,55,1,Yes,No,No
244,1,5,5.09,44,2,Yes,No,No
245,4,4,3.91,43,1,Yes,No,Yes
246,1,3,6.59,50,1,No,No,Yes
247,7,1,1.42,33,3,Yes,No,Yes
248,7,7,3.28,41,2,No,Yes,No
249,3,2,4.06,37,1,Yes,No,No
250,1,3,2.17,35,1,Yes,Yes,Yes
251,3,1,4.46,27,1,No,Yes,Yes
252,2,2,3.95,46,1,Yes,Yes,No
253,3,2,1.39,35,2,Yes,No,Yes
254,6,2,4.74,38,2,No,Yes,Yes
255,3,1,5.88,44,2,No,No,No
256,5,5,2.86,29,3,No,No,No
257,2,2,4.85,48,2,Yes,No,Yes
258,1,1,2.88,33,1,No,Yes,No
259,2,8,3.77,39,1,Yes,No,Yes
260,7,4,0.4,18,1,No,Yes,No
261,7,3,5.32,50,2,No,No,No
262,3,5,4.22,43,3,Yes,No,No
263,1,6,5.37,50,1,Yes,No,No
264,2,1,3.68,25,1,No,No,Yes
265,3,4,5.43,51,2,Yes,No,No
266,2,6,7.11,57,2,No,No,No
267,3,8,2.97,40,2,No,No,No
268,3,2,2.42,26,3,No,Yes,No
269,1,3,4.97,39,3,Yes,No,Yes
270,1,3,6.68,45,2,Yes,No,Yes
271,1,5,3.57,34,2,Yes,No,Yes
272,2,1,3.63,36,3,Yes,No,No
273,3,1,2.93,28,2,No,No,No
274,1,3,3.48,41,1,No,No,No
275,4,2,2.94,27,1,No,No,No
276,2,3,5.79,47,3,Yes,No,Yes
277,3,2,6.29,36,1,No,No,Yes
278,6,1,0.4,5,1,Yes,No,No
279,2,5,5.31,41,3,Yes,No,No
280,3,2,5.83,38,3,No,No,Yes
281,1,2,3.67,22,1,Yes,No,No
282,2,3,2.82,29,1,Yes,No,Yes
283,5,2,1.97,41,2,Yes,Yes,No
284,1,4,4.37,49,2,No,No,No
285,5,1,2.56,39,3,Yes,No,No
286,7,5,2.11,24,1,Yes,No,No
287,2,3,3.24,38,3,Yes,No,No
288,3,1,2.32,25,2,No,No,No
289,3,1,5.63,31,3,Yes,No,No
290,5,7,0.49,25,3,No,No,No
291,4,8,4.76,49,1,No,No,Yes
292,1,2,3.96,27,3,No,No,No
293,1,5,3.18,34,1,No,No,No
294,1,3,3.99,40,2,Yes,No,Yes
295,1,7,3.57,35,1,No,No,No
296,1,1,5.16,40,1,No,No,No
297,5,2,1.0,24,1,No,No,Yes
298,1,1,5.21,60,1,No,No,No
299,2,6,5.93,36,3,Yes,Yes,Yes
300,1,8,3.38,39,2,No,No,No
301,6,2,3.95,36,1,Yes,No,No
302,2,4,7.12,60,1,No,Yes,No
303,2,5,3.46,52,1,No,No,Yes
304,6,2,3.37,29,2,Yes,No,No
305,1,3,5.58,40,1,Yes,No,No
306,1,4,5.99,40,2,No,No,Yes
307,5,1,2.14,23,2,No,No,No
308,1,5,5.61,40,2,Yes,No,No
309,6,7,4.82,44,3,Yes,No,Yes
310,2,4,5.99,36,1,Yes,Yes,No
311,3,3,6.64,56,3,Yes,Yes,No
312,2,5,3.49,27,2,Yes,No,No
313,6,7,2.86,37,1,No,No,No
314,3,2,6.3,49,2,No,Yes,No
315,4,1,2.52,26,2,No,No,Yes
316,2,4,2.67,42,1,No,No,No
317,3,8,3.3,42,1,Yes,No,No
318,1,3,4.31,53,1,Yes,No,No
319,5,2,3.89,32,2,No,No,No
320,4,5,2.98,28,2,Yes,No,Yes
321,1,3,4.84,35,3,Yes,No,No
322,4,1,1.32,33,1,No,No,No
323,2,2,5.28,41,2,Yes,No,No
324,1,6,3.89,32,2,No,No,No
325,4,3,5.17,39,1,No,No,No
326,1,1,5.67,43,2,Yes,No,No
327,7,6,5.03,60,2,Yes,No,Yes
328,2,1,6.97,56,3,Yes,No,No
329,3,5,4.96,45,1,No,No,No
330,6,7,3.73,38,2,No,No,Yes
331,3,3,5.29,41,3,Yes,No,No
332,1,4,4.76,50,2,No,Yes,Yes
333,5,2,3.91,40,3,No,Yes,No
334,4,4,1.75,18,2,Yes,No,Yes
335,6,1,0.83,9,2,No,Yes,No
336,2,4,3.96,52,3,Yes,No,No
337,2,5,4.62,50,1,Yes,No,Yes
338,3,3,3.14,33,2,No,No,Yes
339,6,7,0.4,25,1,No,No,Yes
340,6,7,4.09,50,2,No,No,No
341,2,8,5.57,43,2,No,No,Yes
342,1,8,1.71,26,1,No,Yes,Yes
343,2,2,7.64,48,3,Yes,No,Yes
344,4,4,2.5,33,2,Yes,No,Yes
345,7,6,4.11,51,1,Yes,No,No
346,1,5,4.18,32,2,Yes,No,Yes
347,1,8,1.3,21,2,No,Yes,No
348,2,1,2.16,29,1,No,No,Yes
349,1,3,5.0,61,1,No,No,Yes
350,1,1,4.52,33,3,Yes,No,Yes
351,2,8,5.04,58,2,Yes,Yes,Yes
352,4,3,1.85,25,3,Yes,No,No
353,1,3,2.98,38,1,No,No,Yes
354,2,4,5.68,32,1,Yes,No,Yes
355,1,8,2.55,37,1,No,No,No
356,5,8,3.22,34,3,No,No,No
357,4,4,2.43,28,2,Yes,No,Yes
358,1,2,5.44,40,2,No,No,Yes
359,6,6,3.67,33,1,No,No,Yes
360,3,8,4.14,40,3,Yes,Yes,No
361,3,6,4.35,32,3,Yes,No,No
362,1,1,4.53,40,1,No,No,Yes
363,4,5,2.91,37,1,No,Yes,Yes
364,2,2,4.46,38,2,No,No,No
365,1,4,5.2,45,3,Yes,No,Yes
366,3,1,5.87,52,3,No,No,No
367,2,5,4.59,32,2,Yes,No,Yes
368,1,1,2.61,41,1,No,Yes,Yes
369,1,2,4.86,36,1,Yes,No,No
370,1,6,5.5,48,2,Yes,No,No
371,3,5,2.84,39,3,No,Yes,Yes
372,3,2,2.71,33,2,No,Yes,No
373,2,4,7.02,61,1,Yes,No,Yes
374,2,1,5.4,65,3,Yes,No,No
375,7,6,3.27,30,1,Yes,No,Yes
376,7,2,1.71,20,1,No,Yes,Yes
377,7,1,2.94,26,2,Yes,No,No
378,3,1,6.0,41,1,Yes,No,Yes
379,4,5,1.59,19,1,No,No,No
380,5,5,2.56,28,1,No,No,Yes
381,1,6,4.02,53,1,Yes,No,Yes
382,3,7,0.4,8,1,No,No,No
383,3,4,3.63,27,1,No,No,No
384,3,6,2.08,23,1,Yes,No,Yes
385,1,8,6.48,56,2,Yes,No,Yes
386,1,4,3.52,26,1,Yes,No,Yes
387,1,4,2.93,28,1,Yes,Yes,No
388,6,4,5.1,52,1,No,No,No
389,1,4,2.99,27,1,No,No,Yes
390,3,3,3.68,28,2,Yes,No,No
391,1,6,2.73,18,2,No,No,No
392,7,2,3.5,33,1,No,No,No
393,6,4,3.07,40,1,No,No,No
394,3,2,3.66,37,1,No,Yes,No
395,2,4,6.77,50,1,Yes,No,No
396,2,5,5.32,43,3,Yes,Yes,Yes
397,2,1,3.92,45,2,No,No,No
398,3,6,5.02,46,1,No,Yes,No
399,5,1,4.6,39,3,No,No,No
400,3,6,4.41,37,2,Yes,No,Yes
401,2,8,6.09,47,2,Yes,No,No
402,2,4,5.07,35,1,No,Yes,No
403,5,1,3.32,48,1,No,No,No
404,3,8,2.64,37,2,No,Yes,No
405,1,4,5.06,47,2,No,No,Yes
406,3,1,3.77,30,1,No,No,No
407,6,7,3.96,48,1,Yes,No,Yes
408,5,4,1.91,14,3,Yes,No,Yes
409,4,6,2.93,43,1,No,No,Yes
410,2,1,3.47,40,1,Yes,No,No
411,2,2,5.13,42,1,Yes,No,No
412,7,2,3.38,28,1,Yes,No,No
413,2,6,3.92,41,3,No,No,Yes
414,6,3,4.36,42,2,Yes,No,No
415,7,7,0.4,32,2,No,No,No
416,4,5,3.05,34,2,Yes,No,No
417,1,2,2.9,34,1,Yes,Yes,No
418,1,5,2.66,21,1,No,Yes,No
419,1,6,5.4,39,2,Yes,Yes,No
420,2,3,5.01,41,1,No,Yes,No
421,3,4,4.27,37,3,Yes,Yes,No
422,2,4,4.68,46,2,Yes,No,No
423,2,1,5.51,47,2,Yes,No,No
424,1,4,5.38,42,2,Yes,Yes,Yes
425,6,4,3.27,31,1,Yes,No,Yes
426,5,1,4.18,57,3,Yes,Yes,No
427,2,1,4.83,47,3,No,Yes,Yes
428,3,5,3.64,44,1,Yes,Yes,No
429,2,5,3.86,34,1,No,No,No
430,3,2,2.77,26,1,No,No,Yes
431,1,2,2.75,33,1,Yes,No,No
432,5,7,3.98,45,2,No,No,No
433,1,7,4.82,41,2,No,No,No
434,1,1,3.15,36,1,No,Yes,No
435,2,4,6.26,57,1,Yes,No,Yes
436,3,4,4.9,43,1,No,Yes,Yes
437,3,6,4.15,26,2,No,No,No
438,2,3,5.27,41,3,Yes,No,No
439,3,7,5.01,47,3,Yes,No,No
440,1,5,4.61,46,1,No,No,No
441,3,1,2.38,17,1,No,No,Yes
442,2,6,8.21,49,2,Yes,No,No
443,2,6,6.21,49,1,No,No,No
444,3,1,5.29,51,1,Yes,No,No
445,3,4,4.49,23,2,Yes,Yes,No
446,6,5,0.49,17,1,No,Yes,No
447,2,5,5.35,52,2,Yes,No,Yes
448,7,2,2.69,42,1,No,No,No
449,2,2,3.36,39,1,No,No,Yes
450,1,6,4.44,20,2,Yes,No,No
451,1,1,5.43,35,2,Yes,No,No
452,1,7,5.37,46,1,Yes,Yes,Yes
453,5,5,2.32,26,1,No,No,Yes
454,2,6,4.91,41,2,No,No,No
455,1,5,5.44,47,2,Yes,No,Yes
456,5,4,1.19,32,1,No,No,Yes
457,4,2,1.47,30,2,No,Yes,No
458,4,7,2.47,29,3,No,No,No
459,1,1,5.49,54,2,No,No,No
460,2,1,7.86,52,3,Yes,No,No
461,1,1,4.03,43,2,No,No,Yes
462,1,4,2.63,27,2,Yes,Yes,No
463,1,8,2.73,26,2,No,No,Yes
464,5,1,5.14,30,2,No,No,Yes
465,7,5,2.83,34,1,Yes,No,No
466,3,4,3.33,19,1,No,Yes,Yes
467,4,1,3.36,35,1,Yes,No,No
468,2,4,5.6,51,1,Yes,No,Yes
469,4,2,3.37,42,1,No,No,No
470,2,3,3.66,37,3,No,Yes,Yes
471,7,2,2.1,7,1,No,No,No
472,1,3,4.2,31,2,Yes,Yes,No
473,2,3,4.23,54,1,No,No,Yes
474,2,3,4.87,44,1,Yes,No,Yes
475,5,8,5.33,31,1,Yes,Yes,No
476,2,3,5.02,41,1,Yes,No,No
477,4,7,2.94,36,2,No,No,No
478,7,2,1.69,31,3,No,No,Yes
479,2,3,5.44,57,2,Yes,No,No
480,1,5,5.8,63,3,Yes,No,No
481,1,3,6.57,70,2,No,Yes,Yes
482,1,1,3.25,20,2,No,Yes,Yes
483,7,4,5.5,45,1,No,No,No
484,6,5,4.21,29,2,No,No,No
485,2,6,3.4,37,2,No,No,Yes
486,2,7,5.74,54,3,Yes,No,No
487,6,6,2.59,36,1,Yes,Yes,Yes
488,2,8,6.21,52,2,Yes,No,No
489,2,6,1.93,38,2,No,Yes,Yes
490,2,2,5.54,40,2,Yes,Yes,Yes
491,2,5,5.86,49,1,Yes,Yes,No
492,2,6,3.97,41,1,Yes,No,Yes
493,1,3,4.58,43,1,No,Yes,No
494,1,1,4.12,37,1,No,No,No
495,3,1,2.02,21,1,No,Yes,No
496,1,1,6.46,66,3,Yes,No,Yes
497,2,3,6.27,51,3,No,Yes,No
498,4,3,3.45,33,3,Yes,No,Yes
499,3,8,2.67,32,2,Yes,No,Yes
500,1,2,4.65,43,3,Yes,Yes,No
501,4,6,5.95,36,2,No,No,Yes
502,6,1,1.58,28,2,No,No,Yes
503,4,4,3.31,39,1,Yes,No,No
504,3,2,2.37,29,1,No,No,Yes
505,2,3,2.59,22,2,No,No,No
506,4,1,2.54,20,2,Yes,No,No
507,5,5,1.98,17,1,No,Yes,No
508,3,8,4.81,52,1,No,No,Yes
509,1,3,4.47,41,2,Yes,No,No
510,1,1,3.87,43,1,No,Yes,Yes
511,5,2,2.72,12,1,No,No,No
512,2,8,5.13,53,2,Yes,No,No
513,5,8,4.13,39,3,Yes,No,No
514,6,3,2.72,42,2,Yes,No,Yes
515,1,6,3.98,47,1,No,No,No
516,2,1,6.56,47,2,Yes,Yes,Yes
517,3,3,4.61,56,1,No,No,Yes
518,2,2,6.5,58,1,Yes,No,No
519,3,7,5.65,37,1,Yes,No,No
520,1,7,2.65,31,1,Yes,Yes,Yes
521,3,2,3.94,40,2,Yes,No,Yes
522,2,3,5.21,40,2,No,Yes,No
523,2,8,5.39,45,1,Yes,No,No
524,3,5,3.96,29,2,No,No,No
525,1,3,3.45,34,1,Yes,No,No
526,2,8,6.4,56,2,No,Yes,Yes
527,3,7,7.48,53,2,Yes,Yes,Yes
528,3,8,5.49,66,1,No,No,No
529,2,2,5.08,56,3,Yes,No,Yes
530,1,5,6.92,56,2,Yes,No,Yes
531,3,1,0.8,8,3,No,No,No
532,2,5,5.58,50,1,Yes,No,No
533,4,3,1.08,23,2,No,No,No
534,3,2,3.62,31,1,No,No,No
535,3,5,3.58,31,3,No,No,No
536,5,1,0.71,24,1,No,No,No
537,2,4,2.66,31,2,Yes,No,Yes
538,4,3,2.78,33,2,No,Yes,No
539,2,8,6.17,59,1,Yes,Yes,No
540,4,3,5.28,44,1,Yes,No,No
541,1,6,2.6,20,2,No,No,No
542,1,2,5.49,36,1,Yes,No,No
543,3,1,4.56,31,2,Yes,No,Yes
544,1,8,5.04,47,1,Yes,No,No
545,6,8,2.46,31,2,Yes,No,No
546,3,3,5.1,46,2,No,Yes,Yes
547,1,5,4.95,35,2,No,Yes,No
548,4,4,4.63,43,1,No,Yes,No
549,1,8,5.24,49,2,Yes,No,No
550,4,3,3.06,42,2,No,No,No
551,3,8,3.32,29,2,Yes,Yes,Yes
552,1,3,6.8,50,2,Yes,No,No
553,2,3,3.84,41,1,Yes,No,No
554,2,5,4.51,43,2,Yes,No,No
555,2,2,5.96,38,2,Yes,No,No
556,2,5,5.03,35,1,Yes,Yes,Yes
557,6,4,2.26,30,1,No,No,Yes
558,2,5,5.58,51,2,Yes,No,No
559,3,6,2.26,27,2,Yes,No,No
560,2,4,3.83,42,1,No,No,No
561,7,2,2.84,43,2,Yes,No,No
562,7,1,2.19,31,2,Yes,Yes,Yes
563,2,6,2.29,44,1,No,No,No
564,1,1,3.52,37,3,Yes,No,No
565,1,2,6.02,41,2,No,No,No
566,1,1,3.11,39,2,Yes,No,No
567,2,1,6.98,46,1,No,No,Yes
568,5,3,0.89,14,2,Yes,No,Yes
569,7,1,2.86,42,1,No,No,No
570,1,4,5.18,43,1,No,No,Yes
571,2,1,4.83,36,1,Yes,No,Yes
572,5,1,1.05,25,1,Yes,No,Yes
573,6,2,3.47,33,1,Yes,No,No
574,4,3,4.05,42,1,No,No,No
575,1,4,6.75,44,3,Yes,No,No
576,2,5,3.84,50,2,Yes,No,No
577,7,6,2.38,46,3,No,Yes,No
578,2,7,5.81,33,2,No,Yes,No
579,7,3,3.16,34,1,No,No,No
580,2,7,6.95,44,2,Yes,No,No
581,5,7,3.1,36,1,No,Yes,No
582,4,7,1.52,24,2,Yes,No,Yes
583,2,4,3.72,38,3,No,No,No
584,1,1,5.37,35,3,Yes,No,No
585,1,4,4.35,41,2,Yes,Yes,Yes
586,7,8,3.68,38,1,Yes,No,No
587,5,8,4.48,45,2,Yes,No,Yes
588,3,2,2.56,27,2,Yes,Yes,No
589,4,2,1.64,33,3,No,No,No
590,3,4,2.07,39,1,Yes,No,No
591,3,5,3.65,31,3,Yes,No,No
592,3,2,5.29,51,1,No,No,No
593,6,3,4.74,28,1,Yes,No,No
594,3,6,2.03,30,1,No,No,No
595,4,1,1.93,13,1,Yes,No,No
596,1,2,2.6,21,1,Yes,No,No
597,4,8,1.33,21,2,No,No,No
598,4,6,1.7,32,1,No,No,No
599,4,8,1.94,22,1,Yes,No,No
600,3,3,1.73,18,1,Yes,No,No
601,4,1,1.98,23,1,No,Yes,No
602,4,1,1.92,22,1,No,No,No
603,1,8,5.19,49,1,Yes,No,No
604,2,2,7.46,75,3,Yes,No,No
605,5,3,2.53,35,2,No,No,Yes
606,2,1,5.24,41,1,Yes,No,Yes
607,4,3,2.5,26,1,No,No,Yes
608,2,3,7.02,47,1,Yes,Yes,No
609,1,2,5.3,52,1,No,No,No
610,2,1,3.4,29,3,No,No,Yes
611,1,3,4.43,42,1,Yes,No,Yes
612,2,3,3.57,46,1,Yes,Yes,No
613,4,2,1.39,25,2,Yes,No,Yes
614,1,2,5.79,50,3,Yes,No,No
615,3,1,4.73,51,2,No,No,No
616,5,7,2.16,35,2,Yes,No,No
617,2,6,6.64,57,1,No,No,No
618,1,1,4.31,36,1,Yes,No,No
619,7,4,2.84,30,3,No,Yes,No
620,1,4,4.0,47,1,Yes,No,No
621,7,7,3.49,35,1,Yes,Yes,No
